
Similarity
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-Ter-2,308,0.8698140961063865,0.8150084055173826,0.7045746913054064,0.7718813115309703,0.42505686788800146,0.7241506362823821,0.7267624532505219,0.6889010443344106,0.7256333576487424,0.742279427261566,0.7824465736796715,0.7353856400295571,0.7364435748188816
CT-Ter-10,307,0.8150084055173826,0.8909865859576686,0.724745484667772,0.7968553997802403,0.4401576116876361,0.7367220359430283,0.7487564797468719,0.6975375982363617,0.736603205765223,0.7775148089862006,0.8176885650941634,0.7589416460409931,0.7700901969188626
CT-1,152,0.7045746913054064,0.724745484667772,0.8150661059375195,0.7201635222267183,0.05166133707887753,0.7990728135408595,0.8189271395358874,0.7869915841036945,0.7936394725162338,0.803820000106551,0.7297666136118413,0.8178932959718621,0.8061109460929655
CT-2,251,0.7718813115309703,0.7968553997802403,0.7201635222267183,0.8499696513756989,0.28039882904747443,0.7510800601969241,0.7612146018724754,0.7221794152662564,0.764396184033556,0.7782578242397712,0.8353311550865138,0.7626148611235238,0.7750426886997326
CT-3,267,0.42505686788800146,0.4401576116876361,0.05166133707887753,0.28039882904747443,0.9994423907638486,0.06354601875530172,0.04957074484427222,0.042997809915288836,0.060470061068380716,0.1318173653065817,0.2651001786202278,0.06140676092579364,0.1129816733962895
CT-4,308,0.7241506362823821,0.7367220359430283,0.7990728135408595,0.7510800601969241,0.06354601875530172,0.8037928188768609,0.8209441390657563,0.7831552857111995,0.8011455907505807,0.8097152757973559,0.7604874833371055,0.8183366247509022,0.8086795836798405
CT-5,259,0.7267624532505219,0.7487564797468719,0.8189271395358874,0.7612146018724754,0.04957074484427222,0.8209441390657563,0.8434764013113796,0.8019497252172642,0.8200553261697882,0.8321496242075691,0.7732177516645079,0.8398545114732425,0.8304382240391677
CT-6,299,0.6889010443344106,0.6975375982363617,0.7869915841036945,0.7221794152662564,0.042997809915288836,0.7831552857111995,0.8019497252172642,0.7778591525647739,0.7839418797544799,0.7886483676743051,0.727213791075023,0.7993618905020918,0.7902042298799636
CT-7,219,0.7256333576487424,0.736603205765223,0.7936394725162338,0.764396184033556,0.060470061068380716,0.8011455907505807,0.8200553261697882,0.7839418797544799,0.8103678928185918,0.8142965164479964,0.7725414154408784,0.8183431521580559,0.8134755233124144
CT-8.2,222,0.742279427261566,0.7775148089862006,0.803820000106551,0.7782578242397712,0.1318173653065817,0.8097152757973559,0.8321496242075691,0.7886483676743051,0.8142965164479964,0.8347203819124229,0.7911515050826485,0.8295586592969862,0.8286406186032981
