id,x,y
"6","240424","6244101"
"7","239085","6243561"
"8","236433","6241171"
"9","234328","6238328"
"10","233535","6235567"
"11","224792","6219641"
"12","264468","6205316"
"13","267804","6225009"
"14","264768","6227608"
"15","261241","6230944"
"16","259484","6233572"
"17","253777","6236472"
"18","250409","6238086"
"19","248739","6239914"
"20","247017","6241293"
"21","239499","6252555"
"22","251995","6254903"
"23","256653","6278345"
"24","264249","6222325"
"25","261482","6226046"
"26","225736","6207203"
"27","226393","6202420"
"28","226811","6200749"
"29","226480","6197930"
"30","224450","6191719"
"31","226367","6176848"
"32","221467","6162702"
"33","222960","6156245"
"34","219803","6142461"
"35","209149","6127856"
"36","211466","6135654"
"37","211349","6118739"
"38","219149","6117112"
"39","208393","6107531"
"40","193579","6088689"
"41","183398","6076081"
"42","174861","6057597"
"43","222127","6058778"
