Chi,Elevation
0.026572081850066633,21.0
0.05314533338756782,22.0
0.07971881888418214,22.0
0.11729438904335049,22.0
0.15487194444809496,23.0
0.1815918878260092,23.0
0.20832328813302572,22.0
0.24616040002515568,22.0
0.2839978508964799,22.0
0.3218356407576276,21.0
0.3596737696192288,21.0
0.39751223749191394,21.0
0.43535104438631406,23.0
0.47319019031306075,23.0
0.5110296752827862,22.0
0.8452428305582818,24.0
0.874076911562958,24.0
0.902917221912834,23.0
0.9317594019849929,24.0
0.9606022053921977,24.0
0.9894459438903846,24.0
0.5488694993061232,22.0
0.8073676867939837,24.0
0.9225610839342449,24.0
1.0302371624649218,24.0
0.586709662393705,23.0
0.6134714589595622,24.0
0.7159326109593536,24.0
0.7427095309499636,24.0
0.7694939036157247,24.0
0.9998876081901868,24.0
1.0710292630689655,24.0
1.0998851674138335,25.0
1.1287413839397005,25.0
1.157598537079495,24.0
1.1864588130343519,24.0
0.6513129784104683,24.0
0.678081252782649,24.0
1.054594465857385,24.0
1.227303071834785,24.0
1.1094780593664793,24.0
1.2681477736519386,25.0
1.1643824025375324,24.0
1.308994690804995,26.0
1.242059125531394,24.0
1.3378834388421976,26.0
1.3667734406564886,27.0
1.31974845855362,25.0
1.407627893098529,27.0
1.4365219710040495,26.0
1.3746973579096877,25.0
1.4773830762725544,27.0
1.429667093512268,25.0
1.5182468437335632,28.0
1.4846785847097932,25.0
1.5471789574597765,27.0
1.5398823827801076,25.0
1.5761139073047288,26.0
1.5951103850826756,25.0
1.6050507484361896,27.0
1.650353533906771,25.0
1.6339954745880383,28.0
1.7284844948995886,26.0
1.6749242097797041,26.0
1.7838707354753067,26.0
1.7038720920460773,26.0
1.862204184216758,26.0
1.7328218685594285,26.0
1.917608785380306,26.0
1.761779858492564,26.0
1.9731548625167983,26.0
1.7907413257902172,27.0
2.0287628467107504,27.0
1.8197211524838766,27.0
2.1074013088140795,28.0
1.8487060510118134,27.0
2.1630372300923635,28.0
1.877692535125208,27.0
2.2418518638777525,28.0
1.906681556806913,28.0
2.3206753425565814,28.0
1.93567406891494,28.0
2.3764360258105746,29.0
2.042995874910049,28.0
1.9773108823377705,28.0
2.455290488998285,29.0
2.195455359418199,28.0
2.018948169602163,27.0
2.5113642212081957,29.0
2.3480485901380463,28.0
2.060585930726991,28.0
2.567457124472009,29.0
2.456218254394567,28.0
2.102224165731131,28.0
2.6236044705641173,29.0
2.6099422511992216,28.0
2.1438633485505263,28.0
2.6798968278012416,29.0
2.71878783649513,30.0
2.1855077457039767,29.0
2.7925593673712372,31.0
2.736202138466092,29.0
2.8727415294474854,30.0
2.215035352844292,28.0
2.87225768226229,31.0
2.2445632983488237,28.0
2.9293768593390292,31.0
2.2740915822311436,29.0
3.0101915945488082,33.0
2.3158531913151643,28.0
3.067358533001859,31.0
2.3453885842676527,29.0
3.1245425629985792,30.0
2.387162649207664,28.0
3.1817402791154286,31.0
2.4289381521987314,29.0
3.3203012185627436,34.0
3.2629002908690565,33.0
2.470722287136258,29.0
3.401471031362445,34.0
2.5002746305878754,29.0
3.482675180475788,35.0
2.529828331550849,29.0
3.5401316535575527,35.0
2.5716259063779945,28.0
3.5976578236947203,34.0
2.601186398173148,28.0
3.6553701322625924,33.0
2.6429887766290903,29.0
3.713096574745871,34.0
2.6847945187751106,30.0
3.7947317635217757,35.0
2.715943221446448,30.0
2.781950798543068,29.0
2.8506870703696,29.0
2.9194624543104446,29.0
2.988606682326654,29.0
3.876482251026817,34.0
2.747095596507896,30.0
3.0865085450081047,30.0
3.9343328843405962,37.0
2.778258589215035,29.0
3.156696974907009,30.0
3.992197770528596,37.0
2.82232710602003,29.0
3.2269064355730204,31.0
4.194902091339178,38.0
4.135491974421343,40.0
4.076120904580833,36.0
2.8663967788115112,32.0
3.2971439716026536,32.0
4.2802549463873145,38.0
2.8975642674141318,32.0
3.3673885326152924,32.0
4.3656136462203605,38.0
2.9287346182234493,31.0
3.4667640607309416,32.0
4.4509898888168875,40.0
2.9599233909262965,32.0
3.5370931138265136,32.0
4.536666302854317,40.0
2.9911179026618355,32.0
3.6365983197586513,33.0
4.682996417531689,37.0
4.622354563741132,38.0
3.0223337632117904,32.0
3.7361535597407887,34.0
4.76881537334756,37.0
3.05357184790534,32.0
3.8362344302893776,33.0
4.854646245152953,39.0
3.0848603473232314,32.0
3.936345922998036,34.0
4.94051289970362,40.0
3.1291192899604643,31.0
4.036734499261661,34.0
5.026511205821743,39.0
3.1733788193664823,30.0
4.108046702908875,35.0
5.112527519228306,39.0
3.2176389355685138,32.0
