id,chi_m,elevation_m,area_m2
13,7.74688966202788,336.0,1017352.7245694827
13,7.692738955997203,334.0,1021092.9919392235
13,7.616296197847879,329.0,1024833.2593089642
13,7.562323717485423,324.0,1026329.3662568606
13,7.5083866560147925,320.0,1045030.7031055642
13,7.454886105676333,320.0,1045778.7565795124
13,7.401402779933893,317.0,1105623.0344953644
13,7.349242112859674,316.0,1106371.0879693124
13,7.2755093745158606,314.0,1116095.7831306383
13,7.223569528017209,312.0,1128812.6921877568
13,7.1718938154036325,309.0,1143773.7616667198
13,7.120523377982747,304.0,1144521.8151406678
13,7.047906947369243,301.0,1147514.0290364604
13,6.996611925373534,299.0,1177436.1679943863
13,6.945907658861125,299.0,1178184.2214683343
13,6.895217881812299,296.0,1179680.3284162306
13,5.470584182999354,241.0,8277959.742710214
13,5.491667364960596,244.0,8276463.635762318
13,6.844557043711252,292.0,1187160.8631557121
13,5.335831843022834,237.0,8461980.89730146
13,5.356708249313237,239.0,8459736.736879615
13,5.377589641719799,241.0,8455248.416035926
13,5.398646294911411,242.0,8299653.29345471
13,5.419704656391886,241.0,8298157.186506814
13,5.440774988411653,240.0,8287684.43787154
13,5.521542250528196,245.0,8237564.855117015
13,5.542696994861493,245.0,8214375.197424622
13,6.794040106115788,290.0,1192397.237473349
13,5.306316127678731,235.0,8517336.854373623
13,5.57261225531882,245.0,8212879.090476726
13,5.5937713356773875,246.0,8210634.930054882
13,5.614935623048401,247.0,8206146.6092111925
13,5.636112076190379,247.0,8195673.860575918
13,5.778531601014789,252.0,7661563.68017694
13,5.800381213005548,253.0,7645106.50375008
13,5.822231787131625,252.0,7644358.450276132
13,5.844091990125412,253.0,7636877.91553665
13,5.867237209315885,255.0,6726496.837741753
13,5.890384745461088,257.0,6725000.730793857
13,5.91353923695726,258.0,6720512.409950168
13,6.74362311893602,290.0,1193145.2909472971
13,5.276886890107042,234.0,8533045.977326535
13,5.6660592713090185,245.0,8193429.700154074
13,5.747666131016483,250.0,8010156.599036777
13,5.946314185104914,259.0,6704803.286997257
13,6.672353615591617,287.0,1194641.3978951934
13,8.062804283066274,311.0,2321209.9296611063
13,8.444986994173025,315.0,1323306.5954142758
13,8.495432473577978,315.0,1190901.1305254532
13,8.790781986981077,318.0,1171451.7402028015
13,8.841675839366662,319.0,1167711.472833061
13,8.89342878884053,322.0,1125072.4248180164
13,5.247482045208751,234.0,8542770.67248786
13,5.696021242600328,246.0,8184453.058466696
13,5.717412515830964,248.0,8013896.866406518
13,5.9695820643439355,259.0,6647951.222977198
13,6.6011242904925105,281.0,1197633.6117909858
13,7.935444252768051,311.0,2336919.0526140174
13,7.972706104748585,311.0,2334674.892192173
13,8.009978706891065,311.0,2333178.7852442767
13,8.122271315853467,313.0,1784107.5353663354
13,8.376961999434892,315.0,1324802.702362172
13,8.566924270311688,317.0,1184916.702733868
13,8.617541799629448,318.0,1181924.4888380754
13,8.668173751950675,317.0,1181176.4353641274
13,8.718921567061914,318.0,1175192.0075725422
13,8.966629365170785,323.0,1124324.3713440683
13,9.11356063124803,324.0,1110111.3553390536
13,9.165657898196457,324.0,1108615.2483911572
13,9.21778683415028,324.0,1107119.141443261
13,5.218092267930796,234.0,8559227.84891472
13,6.002576567541727,260.0,6606060.228436101
13,6.025914296204315,258.0,6603816.068014257
13,6.55080661929984,279.0,1331535.1836277044
13,7.882778768697115,309.0,2503734.9773044544
13,8.181952771690314,315.0,1769894.5193613207
13,8.224176372764795,314.0,1768398.4124134243
13,8.26653732771181,312.0,1755681.5033563059
13,8.308971584888495,314.0,1748949.0220907726
13,9.039939788216087,322.0,1120584.1039743277
13,5.188727933127375,233.0,9054439.248668395
13,6.058917209335271,260.0,6602319.961066361
13,6.502832431469304,279.0,1334527.397523497
13,7.846670924349923,309.0,2507475.244674195
13,5.168480096851811,233.0,9079873.066782633
13,6.091926855388268,260.0,6599327.747170568
13,6.435065416019576,277.0,1342007.9322629783
13,7.61554947879996,304.0,3325845.74517347
13,7.651546219264636,306.0,2520940.2072052616
13,7.687557389102035,307.0,2518696.046783417
13,7.723573372873685,307.0,2517947.993309469
13,7.759608633139308,308.0,2514955.7794136764
13,7.795648717725231,308.0,2514207.7259397283
13,5.099464403871361,230.0,9095582.189735545
13,5.119673217609145,230.0,9093338.0293137
13,5.139885772988495,230.0,9089597.761943959
13,6.115286028943286,260.0,6590351.105483191
13,6.387260062428632,276.0,1342755.9857369263
13,7.570617061318001,303.0,3334074.3333868994
13,4.990110106809536,220.0,9118023.793953989
13,5.010298754175942,221.0,9113535.4731103
13,5.030489639048761,222.0,9111291.312688455
13,5.050688734953478,225.0,9103062.724475026
13,5.070892314140478,228.0,9098574.403631337
13,6.148354777489777,259.0,6573145.875582384
13,6.171859775754195,261.0,6499836.635135465
13,6.195369644903989,264.0,6496844.421239673
13,6.218889265590068,267.0,6490859.993448088
13,6.319680241313464,273.0,1345000.1461587707
13,7.399100215404812,301.0,3366240.6327666696
13,7.430723847698419,302.0,3361752.311922981
13,7.462350647088316,302.0,3361004.258449033
13,7.494025075907258,302.0,3349783.4563398105
13,7.525734580253903,302.0,3341554.8681263807
13,4.865293914573848,215.0,9507011.600407027
13,4.961569683713873,219.0,9118771.847427936
13,6.252151184745658,270.0,6488615.833026243
13,6.2784148439138185,272.0,5079283.088107931
13,6.304692439755682,273.0,5073298.660316346
13,6.330994482225986,274.0,5062825.911681072
13,6.357310527145448,276.0,5056841.483889487
13,6.3836300764320555,280.0,5055345.376941591
13,7.354411238675552,299.0,3375965.3279279955
13,4.778059922965576,210.0,9768830.316288877
13,4.797769396169886,211.0,9613235.193707662
13,4.817479559574441,211.0,9612487.140233714
13,4.837285023100312,212.0,9510003.814302819
13,4.89334555568812,216.0,9474845.301027255
13,4.913187582322115,217.0,9471105.033657514
13,4.933030314226097,217.0,9470356.980183566
13,6.420860797415877,283.0,5050857.056097902
13,6.447804553290402,281.0,4798763.035377376
13,6.474765336964143,280.0,4792030.554111842
13,6.502133553551193,280.0,4634939.32458273
13,6.5296988262469275,278.0,4561630.084135812
