id,chi_m,elevation_m,area_m2
RP-S2,0.01116498101581949,21.0,33990053.74925601
RP-S2,0.02233051494355437,22.0,33986313.48188627
RP-S2,0.03349615946426016,22.0,33985565.42841232
RP-S2,0.04928469358843325,22.0,33984069.32146442
RP-S2,0.06507416614809786,23.0,33979581.00062073
RP-S2,0.07630906546859294,23.0,33521772.274564464
RP-S2,0.08754938437414136,22.0,33485865.707814954
RP-S2,0.10346160384670146,22.0,33399839.55831092
RP-S2,0.11937398369497065,22.0,33399091.50483697
RP-S2,0.1352865239241574,21.0,33398343.45136302
RP-S2,0.15119922453947054,21.0,33397595.39788907
RP-S2,0.1671120855461191,21.0,33396847.34441512
RP-S2,0.1830251069493124,23.0,33396099.29094117
RP-S2,0.1989382887542601,23.0,33395351.237467222
RP-S2,0.21485163096617207,22.0,33394603.183993272
RP-S2,0.35541154319045853,24.0,33316057.569228716
RP-S2,0.36765132252605714,24.0,27710892.888935246
RP-S2,0.37989407673347836,23.0,27695931.819456283
RP-S2,0.39213772385686224,24.0,27691443.498612594
RP-S2,0.40438166866553593,24.0,27689947.3916647
RP-S2,0.4166260600458757,24.0,27687703.231242854
RP-S2,0.23076513359025858,22.0,33393855.130519323
RP-S2,0.3394813291972396,24.0,33319049.78312451
RP-S2,0.3909656950153552,24.0,5595439.985132147
RP-S2,0.43394257721679014,24.0,27677230.482607577
RP-S2,0.24667879663173006,23.0,33393107.077045374
RP-S2,0.25793349558851386,24.0,33390862.91662353
RP-S2,0.30102452387346534,24.0,33368421.312405083
RP-S2,0.31228637827489536,24.0,33343735.547764797
RP-S2,0.32355175899498567,24.0,33320545.890072405
RP-S2,0.4265241255756745,24.0,5593943.878184251
RP-S2,0.45125951562817745,24.0,27675734.37565968
RP-S2,0.46350971722028983,25.0,27658529.145758875
RP-S2,0.4757600679090326,25.0,27657781.092284925
RP-S2,0.48801086592275217,24.0,27655536.93186308
RP-S2,0.5002631553999405,24.0,27648056.397123598
RP-S2,0.273847800351636,24.0,33390114.86314958
RP-S2,0.2851055641333318,24.0,33370665.472826928
RP-S2,0.4516821306754301,24.0,5588707.503866614
RP-S2,0.5176050055948999,24.0,27587464.065733798
RP-S2,0.4769315890337783,24.0,5543824.295429725
RP-S2,0.5349470674004236,25.0,27586716.01225985
RP-S2,0.5021917868741697,24.0,5538587.9211120885
RP-S2,0.5522901873835874,26.0,27582975.744890105
RP-S2,0.5379314365232614,24.0,5531107.386372607
RP-S2,0.5645560761212749,26.0,27579983.53099431
RP-S2,0.5768225637451951,27.0,27576991.317098517
RP-S2,0.573677613454527,25.0,5528863.225950763
RP-S2,0.5941692830891885,27.0,27570258.835832983
RP-S2,0.6064377177442755,26.0,27567266.62193719
RP-S2,0.5989608741245129,25.0,5527367.119002867
RP-S2,0.623787614994623,27.0,27559038.03372376
RP-S2,0.6242549206943918,25.0,5522130.74468523
RP-S2,0.6411387839328863,28.0,27554549.71288007
RP-S2,0.6495705836199439,25.0,5511657.9960499555
RP-S2,0.6534253888564612,27.0,27476752.151589464
RP-S2,0.6749858278921128,25.0,5463782.573717274
RP-S2,0.6657133487551621,26.0,27470019.67032393
RP-S2,0.7004136088016285,25.0,5457798.145925689
RP-S2,0.6780022122381552,27.0,27465531.34948024
RP-S2,0.7258492352359333,25.0,5454057.878555948
RP-S2,0.6902948429615796,28.0,27446830.01263154
RP-S2,0.7618240938171982,26.0,5451065.664660156
RP-S2,0.7076770491820905,26.0,27445333.905683644
RP-S2,0.7873338515118605,26.0,5418899.365280385
RP-S2,0.7199711878440035,26.0,27439349.47789206
RP-S2,0.8234136154077808,26.0,5415907.151384593
RP-S2,0.732266231555163,26.0,27434861.15704837
RP-S2,0.8489328868702246,26.0,5414411.044436697
RP-S2,0.7445651996287073,26.0,27415411.76672572
RP-S2,0.8745254790836214,26.0,5380000.584635082
