id,chi_m,elevation_m,area_m2
RP-S4u,0.01995734484374272,165.0,9349920.370877905
RP-S4u,0.03995939890554874,167.0,9303541.05549312
RP-S4u,0.059965796815754153,168.0,9299052.734649431
RP-S4u,0.07997291899626441,168.0,9298304.681175483
RP-S4u,0.09998148997088124,168.0,9296808.574227586
RP-S4u,0.1201181546028402,169.0,9165899.216286661
RP-S4u,0.1402748185853034,168.0,9145701.772490062
RP-S4u,0.16043370867101053,167.0,9143457.612068217
RP-S4u,0.1889709713189451,169.0,9120267.954375826
RP-S4u,0.20916111026751094,170.0,9112039.366162397
RP-S4u,0.22935348725527108,171.0,9109795.205740552
RP-S4u,0.2579435717472618,171.0,9082865.28067842
RP-S4u,0.27818990266344795,171.0,9055935.355616286
RP-S4u,0.3070905004809962,170.0,8867425.880181352
RP-S4u,0.335993292808425,171.0,8865929.773233455
RP-S4u,0.35644772499321825,172.0,8852464.81070239
RP-S4u,0.37690760411954516,171.0,8847228.436384752
RP-S4u,0.4058466835594547,172.0,8841244.008593168
RP-S4u,0.42631825045980987,173.0,8836007.634275531
RP-S4u,1.1254412927310151,186.0,6263451.737367847
RP-S4u,0.455928382839198,175.0,8402136.619385606
RP-S4u,1.1831910254430187,187.0,6248490.667888884
RP-S4u,1.1592651677346806,188.0,6251482.881784677
RP-S4u,1.0916465184083732,186.0,6269436.165159432
RP-S4u,1.067756663952197,187.0,6276168.646424966
RP-S4u,1.0438783449511104,186.0,6282901.1276905
RP-S4u,1.0200115434765413,184.0,6291877.769377878
RP-S4u,0.9961600708963686,184.0,6295618.036747619
RP-S4u,0.9723149759996416,183.0,6380896.132777708
RP-S4u,0.4769086221380403,176.0,8366978.106110043
RP-S4u,1.2900422075702398,192.0,6083918.9036202915
RP-S4u,1.2658272459707285,191.0,6086911.117516084
RP-S4u,1.2416176417295401,189.0,6089155.277937928
RP-S4u,1.2174120530017203,188.0,6091399.438359773
RP-S4u,0.9388015383768633,183.0,6389124.720991137
RP-S4u,0.9151141212783145,182.0,6403337.736996152
RP-S4u,0.5732955785398728,176.0,6906777.724963257
RP-S4u,0.5504241992455738,177.0,6916502.420124583
RP-S4u,0.5275672964102637,177.0,8360245.624844509
RP-S4u,0.5065794558981235,176.0,8363985.89221425
RP-S4u,1.3249324084948484,192.0,5834817.096795558
RP-S4u,0.8816535888244464,181.0,6408574.111313789
RP-S4u,0.857998548806115,180.0,6419046.8599490635
RP-S4u,0.8343608836475578,180.0,6424283.2342667
RP-S4u,0.6285277056812123,177.0,6899297.190223776
RP-S4u,0.6056451705226359,176.0,6902289.404119568
RP-S4u,0.5929927194147093,176.0,1442995.1512459782
RP-S4u,1.3598750715431136,191.0,5815367.706472905
RP-S4u,0.8009494873553058,180.0,6454953.426698574
RP-S4u,0.7773710824653158,179.0,6462433.961438055
RP-S4u,0.7538049633279919,179.0,6472158.656599381
RP-S4u,0.7302547848755512,180.0,6475898.923969122
RP-S4u,0.7067107282112763,179.0,6881343.906849019
RP-S4u,0.6838013472749905,179.0,6882091.960322968
RP-S4u,0.6608930869397477,177.0,6894808.869380087
RP-S4u,0.6586021231512409,177.0,1434018.5095586004
RP-S4u,4.116591203985702,258.0,1009124.1363560536
RP-S4u,1.394821780676239,192.0,5813871.599525009
RP-S4u,0.7242423527433439,179.0,1432522.4026107043
RP-S4u,4.039741771566108,258.0,1016604.6710955352
RP-S4u,3.9855731384650515,257.0,1019596.8849913278
RP-S4u,3.5213151583649034,246.0,1125072.4248180168
RP-S4u,3.469562208891035,244.0,1187160.863155713
RP-S4u,3.4190452712955706,243.0,1208854.4139002094
RP-S4u,1.4195480243694814,193.0,5807887.171733424
RP-S4u,0.770674927022853,180.0,1431774.3491367563
RP-S4u,3.9090799248926276,255.0,1077945.0559592836
RP-S4u,3.8563207687205625,254.0,1083181.4302769206
RP-S4u,3.8036765385385256,252.0,1086921.6976466612
RP-S4u,3.7511139062976753,250.0,1103378.8740735205
RP-S4u,3.6989055256260595,251.0,1106371.0879693131
RP-S4u,3.646760731889275,250.0,1113103.5692348464
RP-S4u,3.5947581013139973,249.0,1116095.783130639
RP-S4u,3.3481940352380906,245.0,1212594.68126995
RP-S4u,3.2981566881967335,245.0,1217083.002113639
RP-S4u,1.4546004645250175,194.0,5774972.818879706
RP-S4u,0.8171184221886985,180.0,1431026.2956628082
RP-S4u,3.2275214127848884,242.0,1221571.3229573278
RP-S4u,1.489695896944819,194.0,5759263.695926795
RP-S4u,0.8636385960188206,182.0,1425789.9213451713
RP-S4u,3.157003043870856,237.0,1223815.4833791722
RP-S4u,1.5496685204855734,196.0,5743554.572973884
RP-S4u,1.5248180289310647,194.0,5749539.000765469
RP-S4u,0.9104920764109123,183.0,1403348.317126727
RP-S4u,3.0865428949145275,233.0,1307597.4724613647
RP-S4u,3.0381754674005528,233.0,1329291.023205861
RP-S4u,2.990164850131898,234.0,1330787.1301537573
RP-S4u,2.942178529053282,234.0,1331535.1836277053
